fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,class,context
6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,1,2
5.3,0.6,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13,1,2
6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,1,2
5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,1,2
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,1,2
6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,1,2
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,1,2
6.9,0.28,0.28,12.2,0.042,52,139,0.99522,3.03,0.56,10.4,1,2
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,1,2
8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,1,2
6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9,1,2
8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,1,2
7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,1,2
7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,1,2
7.9,0.255,0.26,2,0.026,40,190,0.9932,3.04,0.39,11.2,1,2
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,1,2
6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,1,2
7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,1,2
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,1,2
7.1,0.28,0.49,6.5,0.041,28,111,0.9926,3.41,0.58,12.2,1,2
6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,1,2
7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,1,2
5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,1,2
8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,1,2
6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,1,2
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,1,2
6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,1,2
6.3,0.37,0.51,6.3,0.048,35,146,0.9943,3.1,1.01,10.5,1,2
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,1,2
6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,1,2
6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,1,2
6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,1,2
7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,1,2
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,1,2
7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,1,2
7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,1,2
5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,1,2
7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,1,2
6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,1,2
9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,1,2
7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,1,2
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,1,2
8.2,0.22,0.3,1.8,0.047,47,185,0.9933,3.13,0.5,10.2,1,2
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,1,2
6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,1,2
7.1,0.32,0.3,9.9,0.041,63,192,0.99642,3.12,0.49,10.2,1,2
5.6,0.295,0.26,1.1,0.035,40,102,0.99154,3.47,0.56,10.6,1,2
6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,1,2
6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,1,2
6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,1,2
8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,1,2
6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,1,2
6.9,0.19,0.35,6.9,0.045,51,125,0.9933,3.1,0.44,10.7,1,2
7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11,1,2
6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,1,2
6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,1,2
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,1,2
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1,2
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,1,2
6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,1,2
6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,1,2
5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,1,2
6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,1,2
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,1,2
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,1,2
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1,2
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,1,2
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,1,2
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,1,2
7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,1,2
5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,1,2
6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,1,2
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1,2
5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,1,2
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,1,2
6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,1,2
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,1,2
6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,1,2
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,1,2
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,1,2
6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,1,2
6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3,1,2
7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,1,2
6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,1,2
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,1,2
6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,1,2
5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,1,2
7.4,0.26,0.32,3.7,0.032,29,193,0.99134,3.1,0.67,12.5,1,2
6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,1,2
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,1,2
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,1,2
5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,1,2
6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4,1,2
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,1,2
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,1,2
6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,1,2
7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,1,2
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,1,2
8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,1,2
7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,1,2
7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,1,2
8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,1,2
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,1,2
6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,1,2
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,1,2
7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,1,2
6,0.44,0.26,3.1,0.053,57,128,0.98982,3.22,0.39,12.7,1,2
6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,1,2
6.8,0.22,0.37,1.7,0.036,38,195,0.9908,3.35,0.72,12.5,1,2
6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,1,2
6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,1,2
6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,1,2
6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,1,2
