IBDD-CC,IBDD-ACC,IBDD-MS,IBDD-DyS,real_IBDD,baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline,IKS-CC,IKS-ACC,IKS-MS,IKS-DyS,real_IKS
0.48,0.54,0.55,0.58,0.49,0.48,0.52,0.56,0.58,0.49,0.48,0.53,0.54,0.56,0.49
0.47,0.52,0.53,0.56,0.48,0.47,0.51,0.54,0.56,0.48,0.47,0.52,0.52,0.55,0.48
0.47,0.52,0.53,0.56,0.47,0.47,0.51,0.54,0.56,0.47,0.47,0.52,0.52,0.55,0.47
0.48,0.54,0.55,0.57,0.47,0.48,0.52,0.56,0.58,0.47,0.48,0.53,0.54,0.56,0.47
0.47,0.52,0.53,0.56,0.47,0.47,0.51,0.54,0.56,0.47,0.47,0.52,0.52,0.54,0.47
0.48,0.54,0.55,0.58,0.46,0.48,0.52,0.56,0.57,0.46,0.48,0.53,0.54,0.56,0.46
0.49,0.56,0.56,0.58,0.46,0.49,0.54,0.57,0.58,0.46,0.49,0.55,0.56,0.56,0.46
0.5,0.57,0.58,0.6,0.47,0.5,0.56,0.59,0.6,0.47,0.5,0.57,0.57,0.58,0.47
0.49,0.56,0.56,0.59,0.47,0.49,0.54,0.57,0.59,0.47,0.49,0.55,0.56,0.57,0.47
0.48,0.54,0.55,0.57,0.46,0.48,0.52,0.56,0.57,0.46,0.48,0.53,0.54,0.56,0.46
0.48,0.54,0.55,0.57,0.45,0.48,0.52,0.56,0.57,0.45,0.48,0.53,0.54,0.55,0.45
0.48,0.54,0.55,0.57,0.46,0.48,0.52,0.56,0.57,0.46,0.48,0.53,0.54,0.55,0.46
0.47,0.52,0.53,0.56,0.45,0.47,0.51,0.54,0.56,0.45,0.47,0.52,0.52,0.54,0.45
0.48,0.54,0.55,0.57,0.44,0.48,0.52,0.56,0.57,0.44,0.48,0.53,0.54,0.55,0.44
0.47,0.52,0.53,0.55,0.44,0.47,0.51,0.54,0.55,0.44,0.47,0.52,0.52,0.54,0.44
0.48,0.54,0.55,0.57,0.44,0.48,0.52,0.56,0.57,0.44,0.48,0.53,0.54,0.55,0.44
0.48,0.54,0.55,0.57,0.45,0.48,0.52,0.56,0.57,0.45,0.48,0.53,0.54,0.55,0.45
0.48,0.54,0.55,0.57,0.44,0.48,0.52,0.56,0.57,0.44,0.48,0.53,0.54,0.55,0.44
