baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.47,0.51,0.53,0.57,0.47
0.47,0.51,0.53,0.57,0.47
0.46,0.51,0.52,0.56,0.47
0.47,0.51,0.53,0.57,0.46
0.47,0.51,0.53,0.57,0.47
0.47,0.52,0.53,0.57,0.47
0.47,0.52,0.53,0.57,0.47
0.47,0.52,0.54,0.57,0.47
0.47,0.52,0.54,0.57,0.47
0.47,0.52,0.54,0.58,0.47
0.48,0.53,0.54,0.58,0.47
0.48,0.53,0.54,0.58,0.47
0.48,0.53,0.55,0.58,0.47
0.48,0.53,0.55,0.58,0.47
0.48,0.53,0.55,0.58,0.47
0.48,0.53,0.54,0.58,0.47
0.48,0.53,0.55,0.58,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.48,0.53,0.54,0.57,0.47
0.47,0.52,0.54,0.57,0.47
0.47,0.52,0.54,0.56,0.46
0.47,0.52,0.54,0.57,0.46
0.47,0.52,0.54,0.56,0.46
0.47,0.52,0.54,0.57,0.46
0.47,0.52,0.54,0.56,0.46
0.47,0.52,0.53,0.56,0.46
0.47,0.52,0.54,0.56,0.46
0.47,0.52,0.54,0.57,0.46
0.47,0.52,0.54,0.57,0.46
0.47,0.52,0.54,0.56,0.47
0.47,0.52,0.54,0.56,0.47
0.47,0.52,0.54,0.56,0.47
0.48,0.53,0.54,0.57,0.47
0.47,0.52,0.54,0.56,0.47
0.47,0.52,0.54,0.56,0.47
0.47,0.52,0.54,0.56,0.46
0.47,0.52,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.55,0.57,0.47
0.48,0.53,0.55,0.57,0.47
0.48,0.53,0.55,0.57,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.55,0.57,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.55,0.56,0.47
0.48,0.53,0.55,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.55,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.56,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.47,0.52,0.53,0.55,0.47
0.47,0.52,0.53,0.55,0.47
0.47,0.52,0.53,0.55,0.46
0.47,0.52,0.53,0.55,0.46
0.47,0.52,0.53,0.55,0.46
0.47,0.52,0.53,0.55,0.46
0.47,0.52,0.53,0.55,0.46
0.47,0.52,0.53,0.55,0.46
0.47,0.52,0.53,0.55,0.46
0.47,0.52,0.53,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.47,0.52,0.53,0.55,0.46
0.47,0.52,0.53,0.55,0.46
0.47,0.52,0.53,0.55,0.46
0.47,0.52,0.53,0.55,0.47
0.47,0.52,0.53,0.55,0.47
0.47,0.52,0.53,0.55,0.47
0.47,0.52,0.53,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.47
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.56,0.48
0.48,0.53,0.54,0.56,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.49
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.49
0.48,0.53,0.54,0.55,0.48
0.48,0.53,0.54,0.55,0.48
0.48,0.54,0.54,0.55,0.48
0.48,0.54,0.55,0.56,0.49
0.48,0.54,0.55,0.56,0.49
0.48,0.54,0.55,0.56,0.49
0.48,0.54,0.55,0.56,0.49
0.49,0.54,0.55,0.56,0.49
0.49,0.54,0.55,0.56,0.49
0.49,0.54,0.55,0.56,0.49
0.49,0.54,0.55,0.56,0.49
0.49,0.54,0.55,0.56,0.49
0.48,0.54,0.55,0.55,0.49
0.48,0.54,0.55,0.55,0.49
0.48,0.54,0.55,0.55,0.49
0.48,0.54,0.55,0.55,0.49
0.49,0.54,0.55,0.56,0.49
0.49,0.54,0.55,0.56,0.49
0.49,0.54,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.56,0.56,0.49
0.49,0.55,0.56,0.56,0.5
0.49,0.55,0.56,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.56,0.56,0.49
0.49,0.55,0.55,0.56,0.49
0.49,0.55,0.56,0.56,0.49
0.49,0.55,0.56,0.56,0.5
0.49,0.55,0.56,0.56,0.5
0.49,0.55,0.56,0.56,0.5
0.49,0.55,0.56,0.56,0.5
0.49,0.55,0.56,0.56,0.5
0.5,0.56,0.56,0.56,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.56,0.56,0.56,0.5
0.5,0.56,0.56,0.56,0.5
0.5,0.56,0.56,0.56,0.5
0.49,0.55,0.56,0.56,0.5
0.5,0.56,0.56,0.56,0.5
0.5,0.56,0.56,0.56,0.5
0.5,0.56,0.56,0.56,0.5
0.5,0.56,0.56,0.56,0.5
0.5,0.56,0.56,0.56,0.5
0.5,0.56,0.56,0.56,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.57,0.57,0.57,0.5
0.5,0.57,0.57,0.57,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.56,0.57,0.57,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.57,0.57,0.57,0.5
0.5,0.57,0.57,0.57,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.57,0.57,0.57,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.57,0.57,0.57,0.5
0.5,0.57,0.57,0.57,0.5
0.51,0.57,0.57,0.57,0.5
0.51,0.58,0.58,0.58,0.5
0.51,0.57,0.57,0.57,0.5
0.5,0.57,0.57,0.57,0.5
0.5,0.57,0.57,0.57,0.5
0.5,0.57,0.57,0.57,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.57,0.56,0.5
0.5,0.56,0.56,0.56,0.5
