baseline_discrepances,dys_distances
0.127,0.13035259414376574
0.127,0.13035259414376574
0.139,0.13551947933866743
0.142,0.13434467440267156
0.142,0.12937884375482217
0.157,0.12937884375482217
0.157,0.12938055343644833
0.155,0.12602162821955087
0.151,0.1478715435122802
0.146,0.15041508288074004
0.145,0.14536746625072977
0.14,0.15120630918090133
0.139,0.16339308948505546
0.134,0.17595197773408133
0.146,0.1813743015242362
0.146,0.18723425552913747
0.146,0.18723425552913747
0.147,0.18723425552913747
0.146,0.18422423100466648
0.151,0.18018519811574724
0.157,0.1785014338899389
0.154,0.18257832835749865
0.171,0.20266024120887466
0.171,0.20084906099180017
0.177,0.1872465644909633
0.185,0.15312510705492785
0.19,0.12779971026661588
0.193,0.11402300109319574
0.19,0.11342816492732959
0.188,0.13514950125991002
0.2,0.13472421938506282
0.201,0.13466829284696305
0.203,0.13237359996573642
0.202,0.12477912160231067
0.203,0.11727638906391195
0.221,0.11878555274008588
0.216,0.12058793059633173
0.215,0.11359023816365386
0.21,0.1169722530056245
0.226,0.12193269135994561
0.231,0.10954571121832071
0.227,0.14126453924160004
0.226,0.14126453924160004
0.226,0.14126453924160004
0.237,0.12541020224439908
0.238,0.12644121936720062
0.238,0.12644302710111435
0.239,0.12644302710111435
0.25,0.12350155016640874
0.251,0.12642401663342545
0.255,0.11894797401323848
0.256,0.11894797401323848
0.256,0.11894797401323848
0.242,0.11302933064709308
0.237,0.11474967218883622
0.247,0.10941612207197925
0.244,0.10764880392206753
0.246,0.10436480749945187
0.248,0.10552546183271225
0.248,0.10552538343444746
0.26,0.10680954178889569
0.263,0.1075646271567999
0.276,0.10963149780075616
0.284,0.10311132644758984
0.29,0.1046219720630222
0.278,0.10194234673038598
0.279,0.09983221115653551
0.288,0.07774754728414122
0.285,0.07314777666415788
0.289,0.07776604907824165
0.287,0.08206258652800727
0.275,0.07832809996288337
0.278,0.04831373992609892
0.26,0.04540204418514076
0.266,0.05199214632579453
0.26,0.053886608437264824
0.254,0.052026145661308504
0.245,0.04957928433650941
0.243,0.0457771553883192
0.245,0.050189870277822894
0.244,0.047325210466837804
0.232,0.048008461016306264
0.226,0.04561404958246336
0.221,0.04587745174491198
0.221,0.04587745174491198
0.233,0.050248665167293746
0.215,0.04714121041201508
0.219,0.04410952701646573
0.234,0.03154328363698916
0.236,0.02899674619245546
0.227,0.024423212526531596
0.222,0.02422967633756473
0.226,0.019239707218222254
0.221,0.022990513530265228
0.227,0.019240235393701826
0.228,0.014181903091400865
0.222,0.018339296139169285
0.229,0.016274274306913677
0.238,0.018008438408654112
0.235,0.01849050597432157
0.244,0.02017092269241607
0.242,0.02145704912956728
0.242,0.02145704912956728
0.238,0.020103581226442485
0.235,0.022576342096056926
0.236,0.022576342096056926
0.231,0.021679470776258467
0.217,0.022186255879311712
0.228,0.0245060045260081
0.231,0.024438465013352
0.247,0.03153851729289811
0.237,0.053851375147212
0.235,0.06796811872558892
0.227,0.06859308078930258
0.221,0.07129768923290991
0.23,0.075724125502127
0.229,0.0740894229192328
