baseline_discrepances,dys_distances
0.125,0.28772205121051675
0.124,0.29458156592633206
0.122,0.3015975976388381
0.123,0.3016111049479692
0.124,0.2932740095825045
0.128,0.2818595962044191
0.144,0.28738184707415254
0.15,0.2661613061123194
0.15,0.2661613061123194
0.162,0.2475299691812849
0.169,0.21937175603207926
0.17,0.21372728904624116
0.167,0.22694341039904334
0.181,0.21783457534922376
0.18,0.219910175082286
0.19,0.18041810239753825
0.194,0.16624608183517375
0.196,0.17072475726297756
0.201,0.16406189723903836
0.201,0.16025746032261423
0.217,0.1602606556424767
0.223,0.14522090111986272
0.23,0.145515496500995
0.233,0.14272286810248014
0.228,0.15595778733089583
0.239,0.1490591568494686
0.252,0.13738461607345887
0.252,0.1353915390199037
0.255,0.12607974338786024
0.254,0.12607974338786024
0.259,0.12226506212835447
0.27,0.11175905029011941
0.27,0.11673868593210385
0.276,0.11426509381350486
0.282,0.10891935040389117
0.279,0.11681939023249752
0.281,0.11291148609108097
0.289,0.0944489852091066
0.294,0.09156299359359134
0.3,0.0868473276197532
0.309,0.05998565500225579
0.31,0.052239712405203864
0.311,0.052239712405203864
0.325,0.05014558448508407
0.324,0.05366003110609992
0.328,0.05685509988455743
0.327,0.04813244243905359
0.328,0.05072128873709384
0.335,0.048144721643348196
0.337,0.055369453214686115
0.337,0.07196343427284849
0.331,0.06169828097030126
0.333,0.05775548432404886
0.335,0.05534750133572075
0.33,0.056335578302417116
0.328,0.04207194822215088
0.332,0.040046085265818765
0.321,0.04049117914883607
0.329,0.03506797209742368
0.332,0.04820193200842553
0.329,0.07738678286205838
0.322,0.0795848368668376
0.33,0.07999182411925274
0.33,0.07097021543729887
0.322,0.07222338456093605
0.324,0.06872194796435281
0.318,0.03889126281989541
0.33,0.040434676610844336
0.33,0.044252071097933346
0.325,0.04323890153336581
0.327,0.03979371455604669
0.322,0.03966735398099924
0.315,0.03896487474450167
0.312,0.04194359157223868
0.314,0.04183929927308197
0.313,0.04079433482774128
0.308,0.04849000610264675
0.301,0.053477733896928135
0.302,0.053973443155191966
0.309,0.049365713465985436
0.317,0.04358346783890661
0.313,0.05332438418436783
0.308,0.05332438418436783
0.308,0.05338465094613077
0.306,0.05097333007550471
0.305,0.040881529354102414
0.314,0.03752913184573442
0.317,0.034643118648455304
0.31,0.037553504754140626
0.308,0.029905220852282526
0.304,0.02622939704586127
0.296,0.023963630801243998
0.294,0.024023644001022346
0.294,0.024023644001022346
0.293,0.024023644001022346
0.293,0.024023644001022346
0.294,0.029854050521917634
0.294,0.029854050521917634
0.301,0.029980578422128076
0.302,0.02975723616712886
0.302,0.0297345678049646
0.312,0.028438918375532824
0.316,0.018707824791895918
0.318,0.019029689641307662
0.32,0.02500931987811226
0.319,0.025039456189746498
0.329,0.03501604348813074
0.322,0.021056019767143812
0.315,0.02214119421671226
0.306,0.02123922987238175
0.308,0.03948523712765441
0.3,0.022435532825434583
0.297,0.016184414612664892
0.289,0.017567163324717923
0.297,0.0167558653514416
0.298,0.0167558653514416
0.301,0.019581993721045445
0.301,0.022905331720873626
0.289,0.031207117471635046
0.283,0.03445052681556689
0.295,0.027372421902207164
0.303,0.031904612287127376
0.293,0.034316179490337106
0.306,0.024854080380978368
0.311,0.03328531458799723
0.309,0.04195136486285994
0.314,0.03984621142826751
0.316,0.039831865349182614
0.317,0.03997013006455005
0.324,0.04164634022011383
0.319,0.0420122900206657
0.313,0.03785711410700426
0.323,0.037242854930146854
0.325,0.034826048183324916
0.324,0.040439067897839936
0.318,0.03923616369483843
0.32,0.03761287998708831
0.313,0.031513323119132006
0.312,0.02715013080892945
0.316,0.023750505386645797
0.315,0.017415627042475665
0.319,0.020187048735687278
0.316,0.02670704693306902
0.321,0.026555004821706075
0.32,0.026535283250283717
0.322,0.02008685042336977
0.322,0.02008685042336977
0.318,0.01731001306557995
0.32,0.02156200724430352
0.315,0.019617829673239974
0.309,0.018954992518455338
0.307,0.015498126006385103
0.305,0.015498126006385103
0.308,0.014613046391326106
0.31,0.017965660150576757
0.312,0.023059079602852466
0.321,0.02621874565051025
0.314,0.030992034491030843
0.328,0.029759553412564376
0.334,0.034264475753592205
0.341,0.032604726547948076
0.336,0.02542173506467223
0.336,0.02542173506467223
0.34,0.032604726547948076
0.341,0.03068496153956262
0.338,0.04810105800153734
0.333,0.04289731723406881
0.327,0.043076577367865354
0.336,0.03950835695750856
0.34,0.03930833872004426
0.34,0.04059386123367787
0.334,0.04102884389674638
0.334,0.04108267786852668
0.336,0.0434220939607816
0.323,0.04804783027621507
0.317,0.046099095409112216
0.318,0.04603602225239747
0.314,0.04233501328492335
0.313,0.04243834176956669
0.307,0.04953399272362899
0.314,0.05876378322733564
0.309,0.06060498601984183
0.305,0.054948334735403045
0.295,0.05166874023777493
0.288,0.08420118039090616
0.288,0.08341440520218191
0.301,0.09090304219171404
0.298,0.09018550456384447
0.299,0.0888333188099726
0.295,0.08501121354683919
0.3,0.06908765488473173
0.306,0.0367238049641937
0.304,0.039312312462408135
0.304,0.04567695721286784
0.302,0.04564554622027947
0.315,0.04574137153739994
0.304,0.04574137153739994
0.307,0.049444399684462376
0.307,0.049444399684462376
0.302,0.05334671337558064
0.303,0.05718656244453471
0.306,0.05452447455600516
0.313,0.05278859364503538
0.31,0.0648222692131164
0.308,0.04770941949392317
0.306,0.04244463703567045
0.306,0.04244463703567045
0.298,0.047034487457250446
0.3,0.054186615787601575
0.296,0.04841114656059339
0.291,0.05164627426524588
0.285,0.05164627426524588
0.295,0.046922999672578666
0.295,0.04687825254290236
0.293,0.04725949598027423
0.292,0.04858287380943399
0.296,0.04987736554236333
0.301,0.04628107691283341
0.308,0.0481000444059796
0.305,0.04715530668729635
0.301,0.0484813154210791
0.308,0.046340951308002434
0.305,0.046920770546657976
0.307,0.05137118158321707
0.304,0.04874549168300095
0.305,0.051503842157660684
0.305,0.04589775856028934
0.31,0.04745958014432175
0.312,0.04802736255935622
0.307,0.05668459918959537
0.309,0.05845555840334268
0.297,0.05678440138509236
0.305,0.04287966373262053
0.305,0.04330812362329572
0.306,0.04998624771443993
0.309,0.05861809603087102
0.312,0.07333528967897454
0.302,0.07339910205226144
0.303,0.07669633961542041
0.301,0.07339279644069326
0.307,0.10136147990871225
0.299,0.10168493689148786
0.291,0.09014952231199044
0.291,0.09016598111802299
0.295,0.09575505049293785
0.298,0.09690313303259349
0.29,0.08806936064693983
0.29,0.09096867157113328
0.287,0.0839677927888354
0.289,0.0886657463185878
0.296,0.08148855465593387
0.307,0.08295196756005431
0.306,0.08295196756005431
0.302,0.08518858266883847
0.299,0.07639113923676948
0.292,0.07539697439128712
0.287,0.07977360919802091
0.291,0.06855896879920977
0.293,0.07835269474453488
0.304,0.07428612355799055
0.294,0.06664815559421353
0.303,0.07103730526451027
0.302,0.06705652040922165
0.296,0.0709344997082695
0.296,0.07137173883045314
0.299,0.07476851546846873
0.301,0.09063775072586756
0.296,0.10235294852963889
0.294,0.10438710298244457
0.293,0.11646317175625964
0.29,0.1482517075104035
0.293,0.15698283666124835
0.287,0.15923225856447645
0.294,0.12584316555993266
0.281,0.12889264879409282
0.296,0.1213411360577495
0.3,0.10416360786003324
0.303,0.09972494590139915
0.297,0.10457418412418491
0.293,0.09169479666170849
0.295,0.09955745473677324
0.304,0.10597390862355374
0.311,0.10824929112455335
0.304,0.10597390862355374
0.303,0.08483204106636648
0.306,0.08412428249417349
0.314,0.0808134355811746
0.314,0.09253360448528894
0.317,0.09843165833067369
0.317,0.09133594523243721
0.318,0.08482079935567478
0.316,0.07767159184497857
0.324,0.0663621596964973
0.324,0.06616555831572936
0.324,0.06624243791662632
0.325,0.067528752734595
0.33,0.053662999867531334
0.338,0.06216154305462613
0.341,0.05030344414574195
0.342,0.05030344414574195
0.336,0.0406008543220998
0.33,0.03782238576888823
0.329,0.0337839116116847
0.33,0.02798832943895501
0.334,0.027906710957413317
0.346,0.03272117572596875
0.349,0.03837740820037008
0.353,0.02947326631815752
0.355,0.035574509973707646
0.364,0.032544949866403584
0.354,0.033389119730992824
0.353,0.03395666957697235
0.355,0.03774031807085848
0.356,0.03976661904912557
0.358,0.043863195461375105
0.359,0.04644541127664996
0.355,0.03958546993111028
0.359,0.04599007441994445
0.362,0.0420873613918187
0.363,0.05005548791240096
0.359,0.04953897733652453
0.361,0.043206879693368144
0.358,0.03979206738074339
0.359,0.04315715092296616
0.349,0.03905551299413563
0.35,0.03912306889838563
0.341,0.04615050204096877
0.337,0.03982400729631225
0.335,0.05517913843195589
0.338,0.061297865271926086
0.345,0.06616401008904906
0.343,0.06720089945732792
0.342,0.06764288453259285
0.335,0.09711025407711434
0.345,0.0987730796174821
0.347,0.10595359688744616
0.348,0.06745778203432934
0.346,0.06335628313748383
0.351,0.0449524393341339
0.344,0.03467469342638917
0.343,0.02932236673247811
0.343,0.030177100990186688
0.34,0.02414848273032254
0.332,0.02205402386949686
0.341,0.015476347342342645
0.35,0.015476347342342645
0.345,0.010686444834598354
0.335,0.010364962924706239
0.325,0.013602871578844196
0.336,0.007925219501690027
0.35,0.009460734681633595
0.361,0.01802152153133705
0.366,0.020990499477315232
0.355,0.02413613204282911
0.35,0.026486867352447867
0.349,0.026932263378517694
0.339,0.02377345008423721
0.337,0.022666462128350426
0.337,0.022666462128350426
0.343,0.02765870564306754
0.333,0.0273350167283182
0.343,0.027512996424162273
0.345,0.026809940333089664
0.338,0.03593192614717024
0.341,0.03356214408153799
0.34,0.03354028572065274
0.338,0.03583551833354732
0.341,0.03784352388097258
0.335,0.055933079636427435
0.336,0.055933079636427435
0.333,0.06070652001169622
0.34,0.06177452632092221
0.333,0.057585808343807596
0.332,0.057527598336711824
0.333,0.057585808343807596
0.339,0.04415513703431658
0.34,0.039117239504699836
0.343,0.05117408996340253
0.341,0.05192709542187679
0.34,0.06522444585075136
0.336,0.06651411946460575
0.333,0.06310967680650383
0.331,0.05145084885587113
0.327,0.0553058292493061
0.331,0.04558575677621186
0.322,0.0457036834539099
0.324,0.04560105966137744
0.323,0.041542937564140625
0.324,0.0287699857562668
0.33,0.03893240316865533
0.338,0.03156229464628733
0.344,0.034183113834375396
0.356,0.039329590343912826
0.361,0.038037845458681566
0.372,0.03771485881407664
0.362,0.03983666119269813
0.351,0.042938868633856
0.363,0.040345425862154324
0.362,0.03906972391038058
0.36,0.04357101154201215
0.344,0.05756084969262602
0.331,0.048074875215029365
0.324,0.044115820314056475
0.321,0.05294272789258598
0.327,0.052488837177263534
0.34,0.056413001122153084
0.347,0.049148636471009775
0.351,0.050106043600587916
0.349,0.04719652480677975
0.346,0.04684867639173236
0.331,0.04677314781020493
0.329,0.051325835056621166
0.313,0.057687316139424766
0.322,0.05373958781631153
0.323,0.05791797310250389
0.319,0.05580280815898118
0.32,0.05580280815898118
0.319,0.04122925639362157
0.327,0.04697482073375912
0.33,0.038044936225845045
0.329,0.04048759262032241
0.338,0.03422569166358312
0.331,0.03839700546086963
0.331,0.03839700546086963
0.334,0.03553941230934643
0.334,0.03553941230934643
0.334,0.03553941230934643
0.342,0.030213848373420685
0.334,0.03553941230934643
0.335,0.03553941230934643
0.333,0.0279406830248122
0.336,0.028400653166301505
0.335,0.025997456650535218
0.349,0.030744531287790738
0.347,0.04418871819757923
0.34,0.03659353456566701
0.34,0.0477545120581292
0.348,0.05440221018279069
0.345,0.0582829842080879
0.347,0.06507267787770805
0.334,0.05263000772803512
0.335,0.05270470308681027
0.326,0.051325309689177194
0.325,0.04653531929909632
0.322,0.042908636555168064
0.312,0.04240613561695612
0.311,0.041982805407711585
0.322,0.03920351487971898
0.312,0.03920351487971898
0.326,0.047193914112540675
0.333,0.03695396597111442
0.335,0.0372500844680627
0.336,0.034607383549655146
0.335,0.02660849992869918
0.336,0.02660849992869918
0.326,0.027760247053354215
0.317,0.023534598659749672
0.307,0.026470884000000194
0.303,0.03610008768942557
0.302,0.03610008768942557
0.297,0.03972306101493891
0.297,0.04500150884775067
0.31,0.0480470098562191
0.318,0.04548443199389397
0.319,0.04805712349067175
0.315,0.04625988543054753
0.312,0.04734984634939918
0.312,0.04734984634939918
0.32,0.03873976988948845
0.316,0.03429997501314717
0.319,0.024033248602863145
0.316,0.030044180700621873
0.313,0.03190477837046962
0.316,0.03182298489165219
0.318,0.0332807063948968
0.318,0.0332807063948968
0.323,0.030523903303536857
0.316,0.02993394906776883
0.315,0.02993394906776883
0.327,0.035209541337540874
0.333,0.03934106650502703
0.33,0.03417841996158704
0.335,0.028401681693499322
0.343,0.027455275725725602
0.332,0.023537895043918847
0.335,0.023537895043918847
0.341,0.02059107075090874
0.339,0.019333384540709445
0.33,0.019054688590155012
0.329,0.018520788955342468
0.326,0.022274034226264193
0.323,0.023392525036484813
0.317,0.026479683042460952
