baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.45,0.43,0.46,0.49,0.43
0.45,0.43,0.46,0.49,0.43
0.47,0.47,0.49,0.51,0.45
0.47,0.47,0.49,0.51,0.45
0.47,0.47,0.49,0.51,0.47
0.49,0.5,0.53,0.53,0.49
0.47,0.47,0.49,0.5,0.49
0.47,0.47,0.49,0.49,0.51
0.49,0.5,0.53,0.51,0.53
0.49,0.5,0.53,0.51,0.55
0.51,0.54,0.56,0.54,0.57
0.51,0.54,0.56,0.54,0.57
0.53,0.57,0.6,0.56,0.59
0.51,0.54,0.56,0.54,0.59
0.49,0.5,0.53,0.5,0.57
0.49,0.5,0.5,0.51,0.57
0.49,0.5,0.47,0.5,0.57
0.47,0.47,0.47,0.49,0.57
0.47,0.47,0.47,0.49,0.57
0.49,0.5,0.5,0.5,0.59
0.51,0.54,0.54,0.53,0.61
0.49,0.5,0.5,0.5,0.59
0.49,0.5,0.5,0.5,0.59
0.51,0.54,0.54,0.53,0.61
0.49,0.5,0.5,0.51,0.59
0.51,0.54,0.54,0.53,0.61
0.51,0.54,0.54,0.53,0.61
0.53,0.57,0.56,0.56,0.63
0.55,0.61,0.6,0.59,0.65
0.55,0.61,0.6,0.59,0.65
0.53,0.57,0.56,0.56,0.63
0.55,0.61,0.63,0.59,0.65
0.55,0.61,0.63,0.59,0.67
0.55,0.61,0.63,0.59,0.67
0.57,0.64,0.65,0.62,0.67
0.55,0.61,0.63,0.6,0.67
0.55,0.61,0.61,0.59,0.67
0.55,0.61,0.61,0.59,0.67
0.55,0.61,0.61,0.59,0.67
0.53,0.57,0.57,0.57,0.67
0.55,0.61,0.61,0.6,0.69
0.55,0.61,0.61,0.59,0.69
0.57,0.64,0.64,0.63,0.71
0.55,0.61,0.6,0.6,0.71
0.55,0.61,0.6,0.6,0.69
0.53,0.57,0.58,0.57,0.69
0.55,0.61,0.62,0.6,0.71
0.57,0.64,0.65,0.63,0.73
0.57,0.64,0.63,0.63,0.73
0.59,0.68,0.68,0.66,0.75
0.61,0.71,0.74,0.7,0.76
0.61,0.71,0.74,0.7,0.78
0.61,0.71,0.74,0.7,0.78
0.61,0.71,0.73,0.69,0.76
0.63,0.75,0.76,0.72,0.78
0.65,0.78,0.79,0.76,0.76
0.63,0.75,0.77,0.74,0.76
0.65,0.78,0.79,0.76,0.76
0.65,0.78,0.81,0.78,0.76
0.65,0.78,0.81,0.78,0.76
0.67,0.82,0.82,0.79,0.75
0.67,0.82,0.83,0.8,0.75
0.69,0.85,0.87,0.87,0.75
0.69,0.85,0.86,0.86,0.75
0.71,0.89,0.89,0.89,0.75
0.73,0.92,0.94,0.92,0.76
0.73,0.92,0.94,0.93,0.76
0.73,0.92,0.92,0.93,0.76
0.73,0.92,0.9,0.87,0.76
0.73,0.92,0.9,0.87,0.76
0.73,0.92,0.91,0.88,0.76
0.73,0.92,0.91,0.88,0.76
0.75,0.96,0.94,0.91,0.78
0.76,0.99,0.97,0.94,0.8
0.76,0.99,0.97,0.94,0.8
0.76,0.99,0.99,0.95,0.82
0.75,0.96,0.93,0.89,0.8
0.75,0.96,0.93,0.89,0.8
0.75,0.96,0.94,0.89,0.8
0.73,0.92,0.9,0.87,0.78
0.73,0.92,0.9,0.86,0.78
0.75,0.96,0.92,0.88,0.8
0.75,0.96,0.92,0.88,0.8
0.76,0.99,0.96,0.92,0.8
0.78,1.0,0.98,0.94,0.82
0.78,1.0,0.98,0.94,0.84
0.8,1.0,1.0,0.96,0.84
0.8,1.0,1.0,0.96,0.84
0.78,1.0,0.97,0.93,0.82
0.76,0.99,0.94,0.92,0.82
0.76,0.99,0.94,0.88,0.8
0.75,0.96,0.9,0.86,0.78
