baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.47,0.5,0.5,0.58,0.47
0.47,0.5,0.5,0.58,0.47
0.47,0.5,0.5,0.58,0.47
0.47,0.5,0.5,0.58,0.47
0.47,0.51,0.51,0.58,0.47
0.47,0.51,0.51,0.58,0.47
0.47,0.51,0.51,0.59,0.47
0.48,0.52,0.52,0.59,0.48
0.48,0.52,0.52,0.59,0.48
0.48,0.52,0.52,0.59,0.48
0.48,0.52,0.52,0.59,0.48
0.48,0.52,0.52,0.59,0.48
0.48,0.52,0.52,0.59,0.48
0.47,0.51,0.51,0.58,0.48
0.48,0.52,0.52,0.59,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.49
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.48,0.52,0.52,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.57,0.48
0.47,0.51,0.51,0.57,0.48
0.47,0.51,0.51,0.57,0.48
0.47,0.51,0.51,0.57,0.48
0.47,0.51,0.51,0.57,0.48
0.47,0.51,0.51,0.57,0.48
0.47,0.51,0.51,0.57,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.48,0.52,0.52,0.58,0.48
0.48,0.52,0.52,0.58,0.48
0.48,0.52,0.52,0.58,0.48
0.48,0.52,0.52,0.58,0.48
0.48,0.52,0.52,0.58,0.48
0.47,0.51,0.51,0.58,0.48
0.48,0.52,0.52,0.58,0.48
0.48,0.52,0.52,0.58,0.49
0.48,0.52,0.52,0.59,0.49
0.48,0.52,0.52,0.59,0.49
0.48,0.52,0.52,0.59,0.49
0.48,0.53,0.53,0.59,0.49
0.48,0.52,0.52,0.59,0.49
0.48,0.52,0.53,0.59,0.49
0.48,0.53,0.53,0.59,0.49
0.48,0.52,0.53,0.59,0.49
0.48,0.52,0.53,0.59,0.49
0.48,0.52,0.53,0.59,0.5
0.48,0.52,0.52,0.58,0.49
0.48,0.52,0.53,0.59,0.49
0.48,0.52,0.53,0.59,0.49
0.48,0.52,0.53,0.59,0.49
0.48,0.52,0.53,0.59,0.49
0.48,0.52,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.59,0.5
0.48,0.53,0.53,0.58,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.53,0.53,0.58,0.5
0.48,0.53,0.53,0.58,0.5
0.48,0.53,0.53,0.58,0.51
0.48,0.52,0.53,0.58,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.52,0.52,0.58,0.5
0.48,0.52,0.52,0.58,0.5
0.48,0.52,0.52,0.58,0.5
0.48,0.52,0.52,0.58,0.5
0.48,0.52,0.52,0.58,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.53,0.53,0.58,0.5
0.48,0.53,0.53,0.58,0.5
0.48,0.53,0.53,0.58,0.5
0.48,0.52,0.53,0.58,0.5
0.48,0.53,0.53,0.58,0.5
0.48,0.53,0.53,0.58,0.5
0.48,0.53,0.53,0.58,0.51
0.48,0.53,0.53,0.58,0.51
0.48,0.53,0.53,0.58,0.5
0.48,0.53,0.53,0.58,0.51
0.48,0.53,0.53,0.58,0.51
0.48,0.53,0.53,0.58,0.51
0.48,0.53,0.53,0.58,0.51
0.49,0.53,0.54,0.59,0.51
0.49,0.54,0.54,0.59,0.51
0.49,0.54,0.54,0.59,0.51
0.49,0.54,0.54,0.59,0.51
0.49,0.53,0.54,0.59,0.51
0.49,0.53,0.54,0.59,0.51
0.49,0.54,0.54,0.59,0.51
0.49,0.54,0.54,0.59,0.51
0.49,0.54,0.54,0.59,0.51
0.49,0.54,0.54,0.59,0.51
0.49,0.54,0.55,0.59,0.51
0.49,0.55,0.55,0.6,0.52
0.5,0.55,0.55,0.6,0.52
0.5,0.55,0.55,0.6,0.52
0.5,0.55,0.55,0.6,0.52
0.49,0.55,0.55,0.6,0.52
0.49,0.55,0.55,0.59,0.52
0.49,0.55,0.55,0.59,0.52
0.5,0.55,0.55,0.6,0.52
0.5,0.55,0.56,0.6,0.52
0.5,0.55,0.55,0.6,0.52
0.5,0.55,0.56,0.6,0.52
0.5,0.55,0.56,0.6,0.52
0.5,0.55,0.56,0.6,0.52
0.5,0.55,0.56,0.59,0.52
0.5,0.56,0.56,0.6,0.52
0.5,0.56,0.56,0.6,0.52
0.5,0.56,0.56,0.6,0.53
0.5,0.56,0.57,0.6,0.53
0.5,0.56,0.56,0.6,0.53
0.5,0.56,0.57,0.6,0.53
0.5,0.56,0.57,0.6,0.53
0.5,0.56,0.57,0.6,0.53
0.5,0.56,0.57,0.6,0.53
0.5,0.56,0.57,0.6,0.53
0.5,0.56,0.57,0.6,0.53
0.5,0.56,0.57,0.6,0.53
0.51,0.57,0.57,0.6,0.53
0.51,0.57,0.57,0.6,0.53
0.51,0.57,0.57,0.6,0.53
0.51,0.57,0.57,0.6,0.53
0.51,0.57,0.57,0.6,0.53
0.51,0.57,0.57,0.6,0.53
